,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient,kmeans_dens,kmeans_numeric,kmeans_dens_2
53,50.0,140,2.0,0.0,2007-0041-001,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,"0,45",0.5,0.6,"0,55",28.0,12.0,0.45,0.55,2.33,2.33,1,0,1
54,51.0,140,2.0,0.0,2007-0041-002,,280,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,"0,5",0.5,0.8,"0,65",18.0,7.0,0.5,0.65,2.57,2.57,0,1,0
55,52.0,140,2.0,0.0,2007-0041-003,,240,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.6,"0,4",0.3,0.5,"0,4",24.0,13.0,0.4,0.4,1.85,1.85,1,0,1
56,53.0,140,2.0,0.0,2007-0041-004,,170,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.3,"0,3",0.3,0.5,"0,4",25.0,10.0,0.3,0.4,2.5,2.5,1,0,1
57,54.0,140,2.0,0.0,2007-0041-005,,380,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",24.0,8.0,0.5,0.5,3.0,3.0,1,0,1
58,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",26.0,10.0,0.45,0.45,2.6,2.6,1,0,1
59,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",26.0,10.0,0.45,0.45,2.6,2.6,1,0,1
60,56.0,140,2.0,0.0,2007-0041-007,,140,280,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,"0,4",0.2,0.4,"0,3",20.0,12.0,0.4,0.3,1.67,1.67,0,1,0
61,57.0,140-148,0.0,0.0,2007-0058-001,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,"0,4",0.4,0.5,"0,45",24.0,9.0,0.4,0.45,2.67,2.67,1,0,1
62,58.0,140-148,0.0,0.0,2007-0058-002,,200,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.4,0.5,"0,45",26.0,10.0,0.35,0.45,2.6,2.6,1,0,1
63,59.0,144,0.0,1.0,2007-0054-003,,180,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.6,"0,4",0.2,0.8,"0,5",26.0,12.0,0.4,0.5,2.17,2.17,1,0,1
64,60.0,144,0.0,1.0,2007-0054-004,,150,30,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,"0,55",0.5,0.7,"0,6",16.0,8.0,0.55,0.6,2.0,2.0,0,1,0
65,60.0,144,0.0,1.0,2007-0054-004,,100,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,"0,55",0.5,0.7,"0,6",16.0,8.0,0.55,0.6,2.0,2.0,0,1,0
