,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,thick_coef,dens_coef
125,114.0,175,0.0,1.0,2008-0024-003-01,,200,210,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,34.0,12.0,0.5,0.5,1.0,2.83
126,115.0,175,0.0,1.0,2008-0024-003-02,,75,75,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.5,0.8,0.65,16.0,10.0,0.65,0.65,1.0,1.6
127,115.0,175,0.0,1.0,2008-0024-003-02,,90,20,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.5,0.8,0.65,16.0,10.0,0.65,0.65,1.0,1.6
128,116.0,175,0.0,1.0,2008-0024-003-03,,70,230,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,7.0,0.5,0.5,1.0,2.29
129,116.0,175,0.0,1.0,2008-0024-003-03,,350,200,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,7.0,0.5,0.5,1.0,2.29
130,117.0,175,0.0,1.0,2008-0024-003-04,,100,140,nakladka,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.7,0.55,16.0,7.0,0.5,0.55,0.91,2.29
131,117.0,175,0.0,1.0,2008-0024-003-04,,350,55,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.7,0.55,16.0,7.0,0.5,0.55,0.91,2.29
132,118.0,176,0.0,0.0,2008-0032-005,,1230,60,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.5,0.35,0.2,0.3,0.25,32.0,12.0,0.35,0.25,1.4,2.67
133,119.0,179,0.0,0.0,2008-0042-001-01,,20,450,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.3,0.6,0.45,0.5,0.7,0.6,16.0,8.0,0.45,0.6,0.75,2.0
134,120.0,179,0.0,0.0,2008-0042-001-05,,180,250,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.4,0.35,0.5,0.6,0.55,22.0,13.0,0.35,0.55,0.64,1.69
135,121.0,179,0.0,0.0,2008-0042-001-06,,200,300,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.8,0.65,0.4,0.6,0.5,13.0,8.0,0.65,0.5,1.3,1.62
136,,181-183,,,2008-0028-010-02,,200,30,n_band,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,0.2,0.3,0.25,0.2,0.3,0.25,10.0,8.0,0.25,0.25,1.0,1.25
137,,181-183,,,2008-0028-010-03,,120,38,textile,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,0.3,0.4,0.35,0.3,0.4,0.35,14.0,9.0,0.35,0.35,1.0,1.56
138,122.0,181-183,0.0,1.0,2008-0028-010-01,,250,35,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,uneven,,,,0.3,0.4,0.35,0.2,0.6,0.4,22.0,9.0,0.35,0.4,0.87,2.44
139,123.0,181-183,0.0,1.0,2008-0028-010-04,,110,65,m_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,0.5,0.3,0.5,0.4,20.0,12.0,0.5,0.4,1.25,1.67
140,124.0,182,0.0,1.0,2008-0028-005-01,,860,30,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,10.0,0.3,0.5,0.6,3.0
141,125.0,182,0.0,1.0,2008-0028-005-02,,1100,25,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,32.0,10.0,0.3,0.5,0.6,3.2
142,126.0,182,0.0,1.0,2008-0028-005-03,,100,100,f_overlay,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.5,0.35,0.2,0.5,0.35,26.0,9.0,0.35,0.35,1.0,2.89
143,127.0,182,0.0,1.0,2008-0028-005-04,,20,200,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,8.0,0.3,0.5,0.6,3.75
144,127.0,182,0.0,,2008-0028-005-04,,200,80,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,8.0,0.3,0.5,0.6,3.75
145,128.0,182,0.0,1.0,2008-0028-005-05,,50,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65,0.69,3.5
146,128.0,182,0.0,,2008-0028-005-05,,80,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65,0.69,3.5
147,128.0,182,0.0,,2008-0028-005-05,,40,20,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65,0.69,3.5
148,128.0,182,0.0,,2008-0028-005-05,,20,20,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65,0.69,3.5
149,129.0,182,0.0,1.0,2008-0028-005-06,,100,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.6,0.55,22.0,9.0,0.45,0.55,0.82,2.44
150,130.0,182,0.0,1.0,2008-0028-005-07,,60,20,n_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,12.0,6.0,0.5,0.5,1.0,2.0
151,131.0,182,0.0,1.0,2008-0028-005-08,,220,120,w_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.4,0.35,24.0,10.0,0.4,0.35,1.14,2.4
152,131.0,182,0.0,,2008-0028-005-08,,130,100,w_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.4,0.35,24.0,10.0,0.4,0.35,1.14,2.4
153,132.0,182,0.0,1.0,2008-0028-005-09,,150,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,28.0,9.0,0.5,0.45,1.11,3.11
154,132.0,182,0.0,,2008-0028-005-09,,150,80,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,28.0,9.0,0.5,0.45,1.11,3.11
155,132.0,182,0.0,,2008-0028-005-09,,60,55,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,28.0,9.0,0.5,0.45,1.11,3.11
156,132.0,182,0.0,,2008-0028-005-09,,70,60,m_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,28.0,9.0,0.5,0.45,1.11,3.11
157,132.0,182,0.0,,2008-0028-005-09,,50,50,m_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,28.0,9.0,0.5,0.45,1.11,3.11
158,133.0,182,0.0,1.0,2008-0028-005-10,,140,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65,0.69,3.5
159,133.0,182,0.0,,2008-0028-005-10,,160,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65,0.69,3.5
160,133.0,182,0.0,,2008-0028-005-10,,70,20,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65,0.69,3.5
161,134.0,182,0.0,1.0,2008-0028-005-11,,940,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,12.0,0.3,0.5,0.6,2.5
162,135.0,182,0.0,1.0,2008-0028-005-12,,250,130,f_strip,0,mono,fragment,,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.5,0.45,0.3,0.6,0.45,20.0,8.0,0.45,0.45,1.0,2.5
163,136.0,182,0.0,1.0,2008-0028-005-13,,300,100,w_band,1,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,10.0,0.3,0.5,0.6,3.0
164,136.0,182,0.0,,2008-0028-005-13,,400,20,n_band,2,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,10.0,0.3,0.5,0.6,3.0
165,137.0,182,0.0,1.0,2008-0028-005-14,,100,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,42.0,15.0,0.25,0.35,0.71,2.8
166,138.0,182,0.0,1.0,2008-0028-005-15,,150,50,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.4,0.6,0.5,20.0,8.0,0.4,0.5,0.8,2.5
167,,185,0.0,1.0,2008-0037-009-01,,180,300,funeral_shroud,0,mono,fragment,basket,linen,linen,no,no,,,medium,medium,,,,0.2,0.5,0.35,0.2,0.5,0.35,9.0,7.0,0.35,0.35,1.0,1.29
168,,185,0.0,1.0,2008-0037-009-02,,640,38,n_band,0,mono,fragment,basket,linen,linen,no,no,,,medium,medium,,,,0.4,0.5,0.45,0.4,0.5,0.45,10.0,8.0,0.45,0.45,1.0,1.25
169,139.0,185,0.0,1.0,2008-0037-009-03,,100,50,m_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,uneven,,,,0.3,0.5,0.4,0.5,0.6,0.55,28.0,14.0,0.4,0.55,0.73,2.0
170,140.0,185,0.0,1.0,2008-0037-009-04,,120,25,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.5,0.35,0.5,0.8,0.65,42.0,7.0,0.35,0.65,0.54,6.0
171,141.0,185,0.0,1.0,2008-0037-009-05,,200,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.3,0.5,0.4,32.0,10.0,0.45,0.4,1.12,3.2
172,142.0,189,0.0,0.0,2008-0060-001-01,,160,90,funeral_shroud,1,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,18.0,10.0,0.35,0.45,0.78,1.8
173,142.0,189,0.0,,2008-0060-001-01,,120,80,funeral_shroud,2,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,18.0,10.0,0.35,0.45,0.78,1.8
174,142.0,189,0.0,,2008-0060-001-01,,110,100,funeral_shroud,3,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,18.0,10.0,0.35,0.45,0.78,1.8
175,143.0,189,0.0,0.0,2008-0060-001-02,,320,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,0.5,0.4,0.8,0.6,14.0,10.0,0.5,0.6,0.83,1.4
176,144.0,189,0.0,0.0,2008-0060-001-03,,75,35,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,1.0,1.25
177,144.0,189,0.0,,2008-0060-001-03,,120,35,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,1.0,1.25
178,144.0,189,0.0,,2008-0060-001-03,,25,35,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,1.0,1.25
179,145.0,189,0.0,0.0,2008-0060-001-04,,100,15,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,1.31,1.75
180,145.0,189,0.0,,2008-0060-001-04,,100,15,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,1.31,1.75
181,,189,0.0,0.0,2008-0061-001-02,,320,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,0.5,0.4,0.8,0.6,14.0,10.0,0.5,0.6,0.83,1.4
182,,189,0.0,0.0,2008-0061-001-03,,75,35,n_band,1,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,1.0,1.25
183,,189,0.0,0.0,2008-0061-001-03,,120,35,n_band,2,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,1.0,1.25
184,,189,0.0,0.0,2008-0061-001-03,,25,35,n_band,3,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,1.0,1.25
185,,189,0.0,0.0,2008-0061-001-04,,10,15,n_band,1,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,1.31,1.75
186,,189,0.0,0.0,2008-0061-001-04,,10,15,n_band,2,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,1.31,1.75
187,146.0,191,0.0,1.0,2008-0040-004,,220,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.2,0.4,0.3,32.0,12.0,0.4,0.3,1.33,2.67
188,147.0,191,0.0,1.0,2008-0040-005,,150,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,0.45,0.3,0.6,0.45,16.0,12.0,0.45,0.45,1.0,1.33
189,148.0,191,0.0,1.0,2008-0040-007,,180,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.5,0.8,0.65,16.0,8.0,0.5,0.65,0.77,2.0
190,,191,0.0,1.0,2008-0040-008,,220,200,funeral_shroud,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,0.45,0.4,0.5,0.45,15.0,10.0,0.45,0.45,1.0,1.5
191,149.0,193,0.0,0.0,2008-0058-001-01,,55,15,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.5,0.8,0.65,0.5,0.8,0.65,10.0,8.0,0.65,0.65,1.0,1.25
192,150.0,193,0.0,0.0,2008-0058-001-02,,30,40,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,14.0,14.0,0.5,0.5,1.0,1.0
193,151.0,196-197,0.0,1.0,2008-0049-001-01,,40,190,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,16.0,9.0,0.35,0.45,0.78,1.78
194,152.0,196-197,0.0,1.0,2008-0049-001-02,,70,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.8,0.55,28.0,10.0,0.4,0.55,0.73,2.8
195,153.0,196-197,0.0,1.0,2008-0049-001-03,,50,50,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.8,0.55,28.0,10.0,0.4,0.55,0.73,2.8
196,154.0,196,3.0,0.0,2008-0070-003-02,,90,90,filling,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,30.0,12.0,0.35,0.35,1.0,2.5
197,155.0,196,3.0,0.0,2008-0070-003-03,,110,20,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,12.0,0.25,0.35,0.71,2.17
199,157.0,196,3.0,0.0,2008-0070-003-05,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.3,0.5,0.4,0.4,0.5,0.45,32.0,8.0,0.4,0.45,0.89,4.0
200,,196,3.0,0.0,2008-0070-003-06,,200,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,0.55,0.5,0.6,0.55,10.0,10.0,0.55,0.55,1.0,1.0
201,,196,3.0,0.0,2008-0070-003-07,,200,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.2,0.6,0.4,14.0,7.0,0.4,0.4,1.0,2.0
202,158.0,196,3.0,0.0,2008-0070-003-08,,160,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.5,0.4,0.4,0.6,0.5,26.0,9.0,0.4,0.5,0.8,2.89
203,159.0,196,3.0,0.0,2008-0070-003-09,,240,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,22.0,8.0,0.4,0.4,1.0,2.75
204,160.0,196,3.0,0.0,2008-0070-003-10,,220,105,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.5,0.45,30.0,9.0,0.5,0.45,1.11,3.33
205,161.0,196,3.0,0.0,2008-0070-003-11,,300,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.4,0.35,24.0,12.0,0.4,0.35,1.14,2.0
206,162.0,196,3.0,0.0,2008-0070-003-12,,220,150,textile,1,composite,fragment,basket_weave,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.2,0.5,0.35,24.0,10.0,0.35,0.35,1.0,2.4
207,162.0,196,3.0,0.0,2008-0070-003-12,,10,100,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,1.0,0.5,0.8,1.0,,,0.65,0.65,1.0,
208,162.0,196,3.0,0.0,2008-0070-003-12,,30,50,patch_fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,0.45,0.4,0.5,0.45,18.0,8.0,0.45,0.45,1.0,2.25
209,,196,3.0,0.0,2008-0070-003-13,,70,110,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,17.0,9.0,0.5,0.5,1.0,1.89
210,163.0,196,3.0,0.0,2008-0070-003-14,,85,30,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,48.0,10.0,0.25,0.35,0.71,4.8
211,164.0,196,3.0,0.0,2008-0070-003-15,,200,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.2,0.5,0.35,0.4,0.6,0.5,32.0,8.0,0.35,0.5,0.7,4.0
213,166.0,196,3.0,0.0,2008-0070-003-17,,120,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.7,0.55,24.0,9.0,0.35,0.55,0.64,2.67
214,167.0,196,3.0,0.0,2008-0070-003-18,,520,165,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,0.55,0.3,0.5,0.4,26.0,9.0,0.55,0.4,1.38,2.89
215,168.0,196,3.0,0.0,2008-0070-003-19,,100,100,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,0.45,0.4,0.5,0.45,32.0,10.0,0.45,0.45,1.0,3.2
216,169.0,196,3.0,0.0,2008-0070-003-20,,160,95,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.7,0.6,0.4,0.5,0.45,20.0,12.0,0.6,0.45,1.33,1.67
218,,196,3.0,0.0,2008-0070-003-22,,130,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,12.0,10.0,0.4,0.4,1.0,1.2
220,172.0,196,3.0,0.0,2008-0070-003-24,,80,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.5,0.45,24.0,10.0,0.5,0.45,1.11,2.4
221,173.0,196,3.0,0.0,2008-0070-003-25,,220,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,50.0,10.0,0.25,0.35,0.71,5.0
222,174.0,196,3.0,0.0,2008-0070-003-26,,145,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.3,0.4,0.35,32.0,14.0,0.3,0.35,0.86,2.29
223,,200,3.0,0.0,2008-0118-002,,140,35,n_band,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1.0,1.43
224,,200,3.0,0.0,2008-0118-002,,100,35,n_band,2,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1.0,1.43
225,,200,3.0,0.0,2008-0118-002,,50,35,n_band,3,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1.0,1.43
226,,200,3.0,0.0,2008-0118-002,,150,35,n_band,4,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1.0,1.43
227,175.0,200,0.0,1.0,2008-0118-003,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.6,0.5,26.0,10.0,0.35,0.5,0.7,2.6
229,176.0,200,0.0,1.0,2008-0118-006,,720,38,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,42.0,10.0,0.25,0.25,1.0,4.2
230,177.0,200,0.0,1.0,2008-0118-007,,106,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.4,0.5,0.45,30.0,10.0,0.4,0.45,0.89,3.0
231,178.0,200,0.0,1.0,2008-0118-008,,410,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.4,0.6,0.5,21.0,7.0,0.45,0.5,0.9,3.0
232,178.0,200,0.0,,2008-0118-008,,140,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.4,0.6,0.5,21.0,7.0,0.45,0.5,0.9,3.0
233,179.0,200,0.0,1.0,2008-0118-009,,230,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.4,0.6,0.5,32.0,10.0,0.45,0.5,0.9,3.2
234,179.0,200,0.0,,2008-0118-009,,140,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.4,0.6,0.5,32.0,10.0,0.45,0.5,0.9,3.2
235,180.0,200,0.0,1.0,2008-0118-010,,100,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.4,0.5,0.45,24.0,12.0,0.45,0.45,1.0,2.0
236,180.0,200,0.0,,2008-0118-010,,105,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.4,0.5,0.45,24.0,12.0,0.45,0.45,1.0,2.0
237,180.0,200,0.0,,2008-0118-010,,95,50,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.4,0.5,0.45,24.0,12.0,0.45,0.45,1.0,2.0
238,181.0,200,0.0,1.0,2008-0118-011,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,32.0,11.0,0.35,0.35,1.0,2.91
240,183.0,209,0.0,1.0,2008-0121-004-07,,40,15,textile,0,mono,fragment,tabby,linen,linen,red-brown,red-brown,S,S,medium,medium,,,,0.4,0.8,0.6,0.4,1.2,0.8,12.0,6.0,0.6,0.8,0.75,2.0
241,184.0,211,1.0,0.0,2008-0134-001,,150,120,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.4,0.5,0.45,22.0,10.0,0.4,0.45,0.89,2.2
242,184.0,211,1.0,,2008-0134-001,,200,180,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.4,0.5,0.45,22.0,10.0,0.4,0.45,0.89,2.2
243,185.0,211,1.0,0.0,2008-0134-001-01,,430,440,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,17.0,11.0,0.5,0.5,1.0,1.55
244,186.0,211,1.0,0.0,2008-0134-001-02,,600,30,n_band,1,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,20.0,10.0,0.5,0.45,1.11,2.0
245,186.0,211,1.0,,2008-0134-001-02,,640,30,n_band,2,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,20.0,10.0,0.5,0.45,1.11,2.0
246,186.0,211,1.0,,2008-0134-001-02,,720,30,n_band,3,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,20.0,10.0,0.5,0.45,1.11,2.0
247,186.0,211,1.0,,2008-0134-001-02,,440,20,n_band,4,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,20.0,10.0,0.5,0.45,1.11,2.0
248,186.0,211,1.0,,2008-0134-001-02,,450,20,n_band,5,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.3,0.6,0.45,20.0,10.0,0.5,0.45,1.11,2.0
