,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal
49,47.0,137,0.0,0.0,2007-0039-001,,130,130,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,0.55,0.5,0.6,0.55,17.0,10.0,0.55,0.55
50,48.0,137,0.0,0.0,2007-0039-002,,160,130,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.5,0.6,0.55,0.5,0.8,0.65,18.0,9.0,0.55,0.65
51,49.0,137,0.0,0.0,2007-0039-003,,240,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.5,0.8,0.65,0.4,0.8,0.6,28.0,9.0,0.65,0.6
52,50.0,140,2.0,0.0,2007-0041-001,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,0.45,0.5,0.6,0.55,28.0,12.0,0.45,0.55
53,51.0,140,2.0,0.0,2007-0041-002,,280,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,0.5,0.5,0.8,0.65,18.0,7.0,0.5,0.65
54,52.0,140,2.0,0.0,2007-0041-003,,240,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.6,0.4,0.3,0.5,0.4,24.0,13.0,0.4,0.4
55,53.0,140,2.0,0.0,2007-0041-004,,170,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.3,0.3,0.3,0.5,0.4,25.0,10.0,0.3,0.4
56,54.0,140,2.0,0.0,2007-0041-005,,380,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,24.0,8.0,0.5,0.5
57,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,0.45,0.3,0.6,0.45,26.0,10.0,0.45,0.45
58,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,0.45,0.3,0.6,0.45,26.0,10.0,0.45,0.45
59,56.0,140,2.0,0.0,2007-0041-007,,140,280,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.2,0.4,0.3,20.0,12.0,0.4,0.3
60,57.0,140-148,0.0,0.0,2007-0058-001,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.4,0.5,0.45,24.0,9.0,0.4,0.45
61,58.0,140-148,0.0,0.0,2007-0058-002,,200,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.5,0.45,26.0,10.0,0.35,0.45
62,59.0,144,0.0,1.0,2007-0054-003,,180,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.6,0.4,0.2,0.8,0.5,26.0,12.0,0.4,0.5
63,60.0,144,0.0,1.0,2007-0054-004,,150,30,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,0.55,0.5,0.7,0.6,16.0,8.0,0.55,0.6
64,60.0,144,0.0,1.0,2007-0054-004,,100,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,0.55,0.5,0.7,0.6,16.0,8.0,0.55,0.6
65,61.0,144,0.0,1.0,2007-0054-005,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,0.8,1.5,1.15,0.6,0.8,0.7,18.0,6.0,1.15,0.7
