,internal_storage,warp_size,weft_size,type,item_no,warp_a,warp_b,weft_a,weft_b,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_nominal_norm,weft_nominal_norm,warp_nominal_scaled,weft_nominal_scaled,warp_dens_norm,weft_dens_norm,warp_dens_scaled,weft_dens_scaled
60,2007-0058-001,170,60,m_band,0,0.2,0.6,0.4,0.5,24.0,9.0,0.4,0.45,0.06037063621085768,0.06093892166026338,-0.44207781831335946,-0.2997677557878162,0.06770105464607605,0.057756422149238935,0.23924527155807046,-0.3990200494903992
61,2007-0058-002,200,80,m_band,0,0.2,0.5,0.4,0.5,26.0,10.0,0.35,0.45,0.05282430668450046,0.06093892166026338,-1.0925308582796303,-0.2997677557878162,0.07334280919991573,0.06417380238804325,0.4693279582479595,-0.01364171109368855
62,2007-0054-003,180,110,w_band,0,0.2,0.6,0.2,0.8,26.0,12.0,0.4,0.5,0.06037063621085768,0.0677099129558482,-0.44207781831335946,0.1911562500675928,0.07334280919991573,0.07700856286565191,0.4693279582479595,0.7571149656997327
63,2007-0054-004,150,30,m_band,1,0.5,0.6,0.5,0.7,16.0,8.0,0.55,0.6,0.0830096247899293,0.08125189554701784,1.5092813015854516,1.1730042617784109,0.045134036430717374,0.051339041910434605,-0.6810854752014855,-0.7843983878871098
64,2007-0054-004,100,50,m_band,2,0.5,0.6,0.5,0.7,16.0,8.0,0.55,0.6,0.0830096247899293,0.08125189554701784,1.5092813015854516,1.1730042617784109,0.045134036430717374,0.051339041910434605,-0.6810854752014855,-0.7843983878871098
66,2007-0054-006,440,40,n_band,0,0.4,0.6,0.5,0.6,34.0,8.0,0.5,0.55,0.0754632952635721,0.07448090425143303,0.8588282616191807,0.6820802559230024,0.09590982741527442,0.051339041910434605,1.3896587050075155,-0.7843983878871098
67,2007-0054-007,150,80,m_band,0,0.2,0.5,0.4,0.8,20.0,8.0,0.35,0.6,0.05282430668450046,0.08125189554701784,-1.0925308582796303,1.1730042617784109,0.056417545538396716,0.051339041910434605,-0.22092010182170754,-0.7843983878871098
68,2008-0001,205,235,fabric,0,0.2,0.4,0.3,0.6,24.0,14.0,0.3,0.45,0.04527797715814325,0.06093892166026338,-1.7429838982459003,-0.2997677557878162,0.06770105464607605,0.08984332334326056,0.23924527155807046,1.527871642493154
69,2008-0001-002-01,110,200,funeral_shroud,1,0.4,0.6,0.4,0.6,17.0,7.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.04795491370763721,0.04492166167163028,-0.566044131856541,-1.1697767262838206
70,2008-0001-002-01,155,230,funeral_shroud,2,0.2,0.4,0.2,0.4,16.0,16.0,0.3,0.3,0.04527797715814325,0.04062594777350892,-1.7429838982459003,-1.7725397733540438,0.045134036430717374,0.10267808382086921,-0.6810854752014855,2.2986283192865753
71,2008-0001-003-01,170,60,m_band,0,0.2,0.4,0.4,0.6,32.0,10.0,0.3,0.5,0.04527797715814325,0.0677099129558482,-1.7429838982459003,0.1911562500675928,0.09026807286143475,0.06417380238804325,1.1595760183176265,-0.01364171109368855
72,2008-001-003-04,400,180,fabric,1,0.5,0.6,0.6,0.8,18.0,9.0,0.55,0.7,0.0830096247899293,0.09479387813818747,1.5092813015854516,2.154852273489229,0.05077579098455704,0.057756422149238935,-0.45100278851159653,-0.3990200494903992
73,2008-001-003-04,480,320,fabric,2,0.2,0.4,0.3,0.5,24.0,15.0,0.3,0.4,0.04527797715814325,0.05416793036467856,-1.7429838982459003,-0.7906917616432253,0.06770105464607605,0.09626070358206489,0.23924527155807046,1.9132499808898646
75,2008-001-003-05,160,65,fabric,1,0.4,0.5,0.2,0.4,36.0,16.0,0.45,0.3,0.06791696573721488,0.04062594777350892,0.20837522165291064,-1.7725397733540438,0.10155158196911408,0.10267808382086921,1.6197413916974046,2.2986283192865753
76,2008-001-003-05,130,50,fabric,2,0.4,0.6,0.4,0.6,16.0,12.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.045134036430717374,0.07700856286565191,-0.6810854752014855,0.7571149656997327
77,2008-001-003-05,160,65,fabric,3,0.3,0.5,0.3,0.5,22.0,16.0,0.4,0.4,0.06037063621085768,0.05416793036467856,-0.44207781831335946,-0.7906917616432253,0.06205930009223638,0.10267808382086921,0.00916258486818146,2.2986283192865753
79,2008-0001-004-05,25,85,fabric,2,0.2,0.6,0.2,0.6,16.0,12.0,0.4,0.4,0.06037063621085768,0.05416793036467856,-0.44207781831335946,-0.7906917616432253,0.045134036430717374,0.07700856286565191,-0.6810854752014855,0.7571149656997327
80,2008-004-01,110,85,fabric,0,0.4,0.6,0.3,0.5,16.0,11.0,0.5,0.4,0.0754632952635721,0.05416793036467856,0.8588282616191807,-0.7906917616432253,0.045134036430717374,0.07059118262684759,-0.6810854752014855,0.3717366273030221
81,2008-002-02,300,1220,fabric,0,0.2,0.7,0.4,0.5,10.0,8.0,0.45,0.45,0.06791696573721488,0.06093892166026338,0.20837522165291064,-0.2997677557878162,0.028208772769198358,0.051339041910434605,-1.3713335352711526,-0.7843983878871098
83,2008-002-010-02,130,35,n_band,0,0.2,0.6,0.3,0.5,15.0,12.0,0.4,0.4,0.06037063621085768,0.05416793036467856,-0.44207781831335946,-0.7906917616432253,0.04231315915379753,0.07700856286565191,-0.7961268185464301,0.7571149656997327
84,2008-002-010-05,1250,25,n_band,0,0.4,0.5,0.3,0.4,32.0,11.0,0.45,0.35,0.06791696573721488,0.04739693906909374,0.20837522165291064,-1.2816157674986348,0.09026807286143475,0.07059118262684759,1.1595760183176265,0.3717366273030221
85,2008-002-010-08,240,150,fabric,0,0.4,0.6,0.3,0.5,32.0,12.0,0.5,0.4,0.0754632952635721,0.05416793036467856,0.8588282616191807,-0.7906917616432253,0.09026807286143475,0.07700856286565191,1.1595760183176265,0.7571149656997327
86,2008-005-001-01,630,30,n_band,1,0.3,0.5,0.5,0.6,13.0,9.0,0.4,0.55,0.06037063621085768,0.07448090425143303,-0.44207781831335946,0.6820802559230024,0.036671404599957866,0.057756422149238935,-1.0262095052363192,-0.3990200494903992
87,2008-005-001-01,420,30,n_band,2,0.3,0.5,0.5,0.6,13.0,9.0,0.4,0.55,0.06037063621085768,0.07448090425143303,-0.44207781831335946,0.6820802559230024,0.036671404599957866,0.057756422149238935,-1.0262095052363192,-0.3990200494903992
88,2008-005-001-01,380,25,n_band,3,0.3,0.5,0.5,0.6,13.0,9.0,0.4,0.55,0.06037063621085768,0.07448090425143303,-0.44207781831335946,0.6820802559230024,0.036671404599957866,0.057756422149238935,-1.0262095052363192,-0.3990200494903992
89,2008-005-001-02,130,30,textile,0,0.2,0.6,0.5,0.7,12.0,8.0,0.4,0.6,0.06037063621085768,0.08125189554701784,-0.44207781831335946,1.1730042617784109,0.033850527323038025,0.051339041910434605,-1.1412508485812636,-0.7843983878871098
95,2008-008-001-01-5,45,230,m_band,0,0.3,0.4,0.3,0.4,24.0,10.0,0.35,0.35,0.05282430668450046,0.04739693906909374,-1.0925308582796303,-1.2816157674986348,0.06770105464607605,0.06417380238804325,0.23924527155807046,-0.01364171109368855
