,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,threads_labels
97,90.0,163,0.0,1.0,2008-008-001-03-2,,80,50,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,20.0,10.0,0.25,0.25,1
98,91.0,163,0.0,1.0,2008-008-03,,100,25,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1
99,91.0,163,0.0,1.0,2008-008-03,,850,25,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1
100,91.0,163,0.0,1.0,2008-008-03,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1
101,91.0,163,0.0,1.0,2008-008-03,,210,25,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1
102,91.0,163,0.0,1.0,2008-008-03,,180,25,n_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1
105,94.0,163,0.0,1.0,2008-008-07,,100,100,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,20.0,10.0,0.25,0.35,1
106,95.0,163,0.0,1.0,2008-008-08,,170,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.3,0.3,34.0,14.0,0.35,0.3,1
107,96.0,169,0.0,1.0,2008-0011-001-01,,50,10,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.2,0.3,0.25,28.0,5.0,0.4,0.25,1
132,118.0,176,0.0,0.0,2008-0032-005,,1230,60,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.5,0.35,0.2,0.3,0.25,32.0,12.0,0.35,0.25,1
