order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens
45,133,0,0,2008-0036-002,,убрать эту запись!!!!,0,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,3","0,5","0,4","0,3","0,6","0,45",12,8
46,133,0,0,2008-0036-002,,230,130,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",12,10
47,137,0,0,2007-0039-001,,130,130,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,6","0,55","0,5","0,6","0,55",17,10
48,137,0,0,2007-0039-002,,160,130,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,"0,5","0,6","0,55","0,5","0,8","0,65",18,9
49,137,0,0,2007-0039-003,,240,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,5","0,8","0,65","0,4","0,8","0,6",28,9
50,140,2,0,2007-0041-001,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,5","0,45","0,5","0,6","0,55",28,12
51,140,2,0,2007-0041-002,,280,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,4","0,6","0,5","0,5","0,8","0,65",18,7
52,140,2,0,2007-0041-003,,240,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,2","0,6","0,4","0,3","0,5","0,4",24,13
53,140,2,0,2007-0041-004,,170,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,3","0,3","0,3","0,3","0,5","0,4",25,10
54,140,2,0,2007-0041-005,,380,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",24,8
55,140,2,0,2007-0041-006,,200,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,"0,3","0,6","0,45","0,3","0,6","0,45",26,10
55,140,2,0,2007-0041-006,,200,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,"0,3","0,6","0,45","0,3","0,6","0,45",26,10
56,140,2,0,2007-0041-007,,140,280,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,6","0,4","0,2","0,4","0,3",20,12
57,140-148,0,0,2007-0058-001,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,6","0,4","0,4","0,5","0,45",24,9
58,140-148,0,0,2007-0058-002,,200,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,5","0,35","0,4","0,5","0,45",26,10
59,144,0,1,2007-0054-003,,180,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,"0,2","0,6","0,4","0,2","0,8","0,5",26,12
60,144,0,1,2007-0054-004,,150,30,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,"0,5","0,6","0,55","0,5","0,7","0,6",16,8
60,144,0,1,2007-0054-004,,100,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,"0,5","0,6","0,55","0,5","0,7","0,6",16,8
61,144,0,1,2007-0054-005,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,"0,8","1,5","1,15","0,6","0,8","0,7",18,6
62,144,0,1,2007-0054-006,,440,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,4","0,6","0,5","0,5","0,6","0,55",34,8
63,144,1,1,2007-0054-007,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,5","0,35","0,4","0,8","0,6",20,8
64,159,1,0,2008-0001,,205,235,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,2","0,4","0,3","0,3","0,6","0,45",24,14
